City: University Park,"Before running your test convert all measurements into meters, as you know Km mixed with meters will destroy your results",,,,,,University Park Raw Data-points
Income: Low,,,,,,,    34.02529 -118.28248
City Limits,Southwest,Southeast,Northwest,Northeast,,,    34.03589 -118.27734
3,34.1176 -118.4713,4060,7130,639.52,3370,,    34.02828 -118.28137
4,34.10195 -118.46176,5520,5520,4700,4570,,    34.03663 -118.28001
5,34.11123 -118.45081,4830,6480,4580,4620,,    34.0360 -118.2834
6,34.10403 -118.46204,5420,5430,4810,5330,,    34.03311 -118.28232
7,34.1076 -118.4596,4910,6000,4770,5080,,    34.03383 -118.27455
8,34.09291 -118.47406,4580,5990,2980,4240,,    34.03782 -118.27786
9,34.08377 -118.43558,3310,4240,2390,2670,,    34.03036 -118.28196
10,34.11508 -118.45921,4190,6830,4180,4340,,    34.03797 -118.27882
11,34.08832 -118.45722,4010,4640,3110,3660,,    34.03466 -118.28328
12,34.10826 -118.44698,5240,6200,5040,4960,,    34.02899 -118.27835
13,34.09099 -118.45115,4270,4310,3250,5330,,    34.03609 -118.27971
14,34.10231 -118.44883,5490,5590,5430,4490,,    34.0302 -118.2820
15,34.08969 -118.46310,4050,4980,3520,4100,,    34.03717 -118.27746
16,34.08625 -118.45624,3500,4280,2870,3790,,    34.03269 -118.27496
17,34.11477 -118.45181,4460,6110,4330,4310,,    34.03427 -118.27961
18,34.12695 -118.44940,3320,6600,3020,3030,,    34.02727 -118.28349
19,34.12869 -118.45910,2580,2660,1500,2610,,    34.0264 -118.2780
20,34.09007 -118.45086,4240,4370,3180,4140,,    34.0241 -118.2743
21,34.09366 -118.45409,4510,4900,3600,4510,,    34.03725 -118.27746
22,34.10083 -118.47086,5320,5730,5170,4660,,    34.02575 -118.27951
23,34.11549 -118.47172,4330,6720,4100,4400,,    34.03752 -118.27750
24,34.12504 -118.45854,3290,7280,3020,3150,,    34.02613 -118.27711
25,34.07778 -118.46318,2660,3850,2290,2760,,    34.03293 -118.28388
26,34.11848 -118.45087,3850,6480,4040,4060,,    34.02506 -118.28009
27,34.10202 -118.46943,5580,5570,5010,5310,,    34.03362 -118.28261
28,34.1173 -118.4500,3880,6230,4090,4150,,    34.02795 -118.28108
29,34.08211 -118.46938,3280,4520,3180,3200,,    34.03154 -118.28397
30,34.08942 -118.47165,3930,5380,3830,3930,,    34.03559 -118.27589
31,34.08489 -118.46297,3360,4610,2920,3440,,    34.03086 -118.28161
32,34.12699 -118.46444,2750,7410,2780,2900,,    34.03345 -118.27642
33,34.08506 -118.43818,3300,4230,2720,3360,,    34.03709 -118.27872
34,34.08776 -118.47003,3690,5180,3550,3770,,    34.03622 -118.28333
35,34.11687 -118.45761,3870,6810,2980,4060,,    34.02475 -118.27465
36,34.08215 -118.43517,3170,3920,2490,3080,,    34.02548 -118.28128
37,34.09517 -118.44414,4700,5080,3530,3760,,
38,34.0839 -118.4510,3530,3720,2380,2500,,
39,34.09873 -118.46751,5110,6090,4490,4440,,
40,34.09592 -118.44122,4670,4730,3660,3870,,
41,34.09659 -118.47453,4840,6290,4550,4590,,
42,34.10337 -118.45278,5500,5630,4450,4710,,
43,34.09744 -118.45513,5460,5200,3910,4060,,
44,34.12395 -118.46317,3180,7300,3100,7580,,
45,34.10576 -118.45891,5270,5710,4960,5080,,
46,34.12888 -118.44672,3120,6690,2800,2830,,
47,34.12603 -118.46507,2910,7580,2860,3150,,
48,34.10288 -118.47579,5330,5780,5220,5450,,
49,34.08704 -118.44657,3760,3930,2810,3700,,
50,34.12982 -118.46292,2470,2560,1460,2530,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,    34.09263 -118.44120,,,,,,
,    34.10783 -118.47130,,,,,,
,    34.07653 -118.44592,,,,,,
,    34.08643 -118.45253,,,,,,
,    34.08883 -118.46001,,,,,,
,    34.07801 -118.47534,,,,,,
,    34.10967 -118.47448,,,,,,
,    34.10895 -118.45905,,,,,,
,    34.12035 -118.45432,,,,,,
,    34.11251 -118.46585,,,,,,
,    34.12572 -118.43929,,,,,,
,    34.10012 -118.45006,,,,,,
,    34.07974 -118.45746,,,,,,
,    34.12301 -118.44481,,,,,,
,    34.08201 -118.45183,,,,,,
,    34.08732 -118.45825,,,,,,
,    34.0893 -118.4607,,,,,,
,    34.07676 -118.45043,,,,,,
,    34.08573 -118.46838,,,,,,
,    34.12051 -118.46226,,,,,,
,    34.09256 -118.46343,,,,,,
,    34.09142 -118.46801,,,,,,
,    34.11813 -118.43813,,,,,,
,    34.10996 -118.45136,,,,,,
,    34.12648 -118.47547,,,,,,
,    34.11297 -118.44934,,,,,,
,    34.11859 -118.43583,,,,,,
,    34.12833 -118.44918,,,,,,
,    34.10902 -118.46747,,,,,,
,    34.11292 -118.46024,,,,,,
,    34.09308 -118.44301,,,,,,
,    34.12156 -118.45580,,,,,,
,    34.09995 -118.45462,,,,,,
,    34.09018 -118.47179,,,,,,
,    34.09425 -118.46269,,,,,,
,    34.09953 -118.44112,,,,,,
